"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"r_new[34,3]",0.008730465783,0.00870787995,0.000260148864403975,0.000299536497960001,0.00835280073,0.009197782955,1.0021403703271,24.5995199973086,78.3393298097876
"r_new[35,3]",0.008679167832,0.0086467947,0.000236143854568982,0.000233437445639999,0.008323841985,0.009121276705,1.01768752481834,37.7893068570142,76.6284020089591
"r_new[36,3]",0.008662849731,0.00865661565,0.000278932526139984,0.000237358922640002,0.008218389655,0.009174149485,1.15488127366191,26.1474167127548,29.147235176549
"r_new[37,3]",0.008742705089,0.0087628305,0.000236493590457604,0.00026831249718,0.00835040584,0.009093353215,1.01587092318247,26.0840184628604,73.5691550057054
"r_new[38,3]",0.008596761962,0.00859118975,0.000275112358414606,0.00033578970033,0.00815165487,0.009012879675,0.995698347874717,27.3500784571284,44.5810103703794
"r_new[39,3]",0.008521989488,0.00853181025,0.000277975426508925,0.00028734507816,0.008055389105,0.00893299929,1.017386103255,21.9050988157538,42.9711796108348
"r_new[40,3]",0.00852480786,0.0085939263,0.000746610349027667,0.00072789522036,0.00726877117,0.009595814575,0.9959867474633,26.0292941680581,65.4003091120767
"r_new[1,4]",0.008320977291,0.00831072455,0.000178716976039029,0.000184000593419999,0.00805255514,0.008538109125,1.33216215125754,2.71050547597258,30.70714160379
"r_new[2,4]",0.00860223012,0.0086459198,0.000275119151779383,0.00025871785128,0.008077815265,0.00906957376,1.00049210170778,31.8445074786255,31.5354895261113
"r_new[3,4]",0.008665221111,0.0086626627,0.000263673584210427,0.000237605108369999,0.00825610164,0.009138637435,1.0108519297982,27.0618394851383,44.5810103703794
"r_new[4,4]",0.008573636327,0.00857108825,0.000262969872514327,0.000283302843390001,0.00814384801,0.00897483211,1.01972092464188,27.0820603333728,52.4502744151648
"r_new[5,4]",0.008557222312,0.00855539755,0.000284723165886969,0.000247602057779999,0.008087338835,0.009071817135,1.03601234507345,33.2352520449524,58.9391161255239
"r_new[6,4]",0.008589314962,0.0085650692,0.000290568768025424,0.000293555467169999,0.008183703335,0.009139098025,1.00475208203374,22.9524163455219,78.3393298097876
"r_new[7,4]",0.008792863425,0.0087867831,0.000307905309256253,0.000241158678180001,0.00829249675,0.00934507458,1.14009584017323,6.7800742243166,31.6824001034527
"r_new[8,4]",0.008687902374,0.0086567204,0.000278263156642166,0.000249563908229999,0.00831050196,0.00921579358,1.02798050706447,45.1468603123247,58.1996870625698
"r_new[9,4]",0.008707561073,0.0087643907,0.000250073849114003,0.000248980282739999,0.00828176389,0.009068276265,1.08573447994383,15.5118083610006,19.9657729606389
"r_new[10,4]",0.008603208863,0.00865721905,0.000249731327178661,0.000211385030849999,0.008052629605,0.008894122025,1.00379294809895,23.2530412537598,32.8693155044045
"r_new[11,4]",0.008664075506,0.00864466675,0.000236966797921022,0.00025720352364,0.00833112047,0.009065867675,1.00394085707421,29.7319267834642,42.4389398926035
"r_new[12,4]",0.008662574532,0.00865665175,0.000264879702421166,0.00023670435474,0.00830492129,0.009090095695,1.06405703974548,23.3496616168315,56.8419098881722
"r_new[13,4]",0.008686939788,0.00868488995,0.000302240438385246,0.000321606629819999,0.008137117625,0.009174961055,1.01654234844976,29.5486566661279,30.6204069389592
