"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"r_new[2,2]",0.00790006298,0.007738428,0.000950653466775359,0.00078621722025,0.006472354255,0.009740098775,1.11504338492991,7.33211998181549,14.0044814340589
"r_new[3,2]",0.007898340301,0.0078653403,0.00098620825483962,0.00099161988597,0.00649985571,0.009753932885,1.11294342410513,7.11367375969743,48.4074922943175
"r_new[4,2]",0.008156946181,0.00806206025,0.000976274927419964,0.00092639267658,0.00667420885,0.0100946955,1.17550100566045,4.3939208873834,18.434636047614
"r_new[5,2]",0.008207554792,0.008329471,0.00100480432487186,0.0009950343879,0.00642000562,0.009664353125,1.05635858335901,26.5424607533773,51.9994667620882
"r_new[6,2]",0.008380236285,0.0083416047,0.000901019117587278,0.00080415897828,0.006985544645,0.00990934447,1.1504989893258,4.5773093588144,43.0506805768747
"r_new[7,2]",0.00860012235,0.00850834895,0.00102116016163147,0.000902432229720002,0.007186089335,0.0106757808,1.13632518323435,7.00871101912865,37.7806563039724
"r_new[8,2]",0.008591557553,0.0085158931,0.000927452250127212,0.000838331573940002,0.00725407342,0.0102552164,1.06518641711498,13.5363647863314,39.7404703974047
"r_new[9,2]",0.008492244856,0.0084120457,0.000895220158900094,0.000886303098449999,0.00728362305,0.0101673591,1.05243591886431,20.1480096139397,23.5151840902982
"r_new[10,2]",0.008455326829,0.00844103855,0.000975268062821174,0.0010588818156,0.007027240125,0.0101472884,1.03628361078669,14.3962405622601,46.6027543178878
"r_new[11,2]",0.008479797423,0.0083124376,0.000981546719125417,0.00093775828818,0.007078982135,0.01019349975,1.01830375360795,18.9877995199324,30.6204069389592
"r_new[12,2]",0.008925557787,0.00893711775,0.00108466404483917,0.000998466903420001,0.00739856539,0.01048671915,1.04150879706912,14.1998604459812,44.5810103703794
"r_new[13,2]",0.008830687511,0.0085906555,0.000935189624228422,0.000733147775639998,0.00755084941,0.01029268175,0.992728612589468,31.5273963919991,54.8564568994389
